Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MarJon Beauchamp,SF,23,MIL,10,0,16.7,2.6,5.1,0.51,1.1,2.5,0.44,1.5,2.6,0.577,0.618,0.5,0.8,0.625,0.8,1.5,2.3,1.0,0.3,0.1,0.7,1.7,6.8
Patrick Beverley,PG,35,PHI,11,0,16.1,0.9,2.7,0.333,0.2,1.4,0.133,0.7,1.4,0.533,0.367,0.1,0.3,0.333,1.0,2.2,3.2,2.0,0.5,0.5,0.5,2.0,2.1
Saddiq Bey,SF,24,ATL,11,3,27.6,4.4,9.1,0.48,1.7,4.6,0.373,2.6,4.5,0.592,0.575,1.4,1.5,0.882,1.9,3.4,5.3,1.2,1.1,0.3,1.5,1.4,11.8
Goga Bitadze,C,24,ORL,9,6,16.8,2.9,4.7,0.619,0.0,0.3,0.0,2.9,4.3,0.667,0.619,1.8,2.3,0.762,2.4,2.9,5.3,1.1,1.0,1.0,0.4,2.1,7.6
Anthony Black,PG,20,ORL,9,5,19.9,2.3,4.2,0.553,0.6,1.7,0.333,1.8,2.6,0.696,0.618,0.7,1.0,0.667,0.9,1.2,2.1,1.6,0.4,0.3,0.8,1.9,5.9
Bogdan Bogdanović,SG,31,ATL,11,1,26.2,5.4,12.2,0.44,2.9,8.3,0.352,2.5,3.9,0.628,0.56,1.1,1.1,1.0,0.4,2.4,2.7,3.0,1.5,0.5,1.2,1.9,14.7
Devin Booker,SG,27,PHO,3,3,32.7,11.7,20.7,0.565,3.3,7.3,0.455,8.3,13.3,0.625,0.645,4.7,4.7,1.0,1.0,5.3,6.3,8.7,0.3,0.0,4.3,3.3,31.3
Chris Boucher,PF,31,TOR,9,0,16.6,2.2,4.9,0.455,0.6,1.6,0.357,1.7,3.3,0.5,0.511,2.0,2.2,0.9,1.8,3.7,5.4,0.6,0.2,0.8,0.7,2.4,7.0
Malaki Branham,SG,20,SAS,11,3,20.2,3.7,8.6,0.432,1.0,3.2,0.314,2.7,5.5,0.5,0.489,0.5,0.6,0.857,0.2,1.4,1.5,2.2,0.5,0.1,0.9,1.2,9.0
Christian Braun,SG,22,DEN,11,0,19.0,2.7,6.0,0.455,0.4,1.6,0.222,2.4,4.4,0.542,0.485,1.4,2.0,0.682,1.0,3.1,4.1,2.1,0.5,0.3,0.5,1.5,7.2
Mikal Bridges,SF,27,BRK,11,11,34.3,7.6,16.7,0.457,1.9,6.5,0.292,5.7,10.2,0.563,0.514,3.1,3.7,0.829,1.4,4.8,6.2,3.7,1.3,0.5,2.5,1.9,20.3
Oshae Brissett,SF,25,BOS,6,0,11.2,0.5,2.8,0.176,0.2,1.5,0.111,0.3,1.3,0.25,0.206,1.0,1.3,0.75,1.0,1.3,2.3,0.3,0.7,0.0,0.3,0.8,2.2
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,0.405,2.0,5.9,0.34,4.1,9.3,0.446,0.471,3.0,3.8,0.8,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
